UnitTypeID,UnitTypeName,Breakfast,BedType,PeopleNum,CancelRule,Price,CreateTime
72692785,商务标准间,无早,双床,可住2人,免费取消,347,2019-07-18 17:30:05
99712611,商务标准间,无早,双床,可住2人,免费取消 立即确认,349,2019-07-18 17:30:05
33991,商务标准间,双早,双床,可住2人,免费取消 立即确认,396,2019-07-18 17:30:05
38661257,豪华标准间,无早,双床,可住2人,不可取消 立即确认,386,2019-07-18 17:30:05
48446878,豪华标准间,无早,双床,可住2人,免费取消 立即确认,408,2019-07-18 17:30:05
59510002,豪华标准间,双早,双床,可住2人,免费取消 立即确认,466,2019-07-18 17:30:05
13848911,豪华标准间,双早,双床,可住2人,不可取消 立即确认,441,2019-07-18 17:30:05
33992,商务大床间,无早,大床,可住2人,免费取消 立即确认,408,2019-07-18 17:30:05
30037109,商务大床间,无早,大床,可住2人,不可取消 立即确认,408,2019-07-18 17:30:05
59510013,商务大床间,双早,大床,可住2人,免费取消 立即确认,466,2019-07-18 17:30:05
13848917,商务大床间,双早,大床,可住2人,不可取消 立即确认,466,2019-07-18 17:30:05
21677763,豪华套房,无早,大床,可住2人,不可取消 立即确认,476,2019-07-18 17:30:05
48447099,豪华套房,无早,大床,可住2人,免费取消 立即确认,478,2019-07-18 17:30:05
12133824,豪华套房,双早,大床,可住2人,不可取消 立即确认,534,2019-07-18 17:30:05
59510006,豪华套房,双早,大床,可住2人,免费取消 立即确认,537,2019-07-18 17:30:05
306674585,豪仕套房,无早,大床,可住2人,不可取消,558,2019-07-18 17:30:05
128905,豪仕套房,无早,大床,可住2人,免费取消 立即确认,560,2019-07-18 17:30:05
306670088,豪仕套房,双早,大床,可住2人,免费取消 立即确认,619,2019-07-18 17:30:05
306675337,豪仕套房,双早,大床,可住2人,不可取消,616,2019-07-18 17:30:05
128906,娱乐套房,无早,大床,可住2人,免费取消 立即确认,572,2019-07-18 17:30:05
306682796,娱乐套房,双早,大床,可住2人,免费取消 立即确认,619,2019-07-18 17:30:05
21677885,娱乐套房,无早,大床,可住2人,不可取消 立即确认,561,2019-07-18 17:30:05
306672916,娱乐套房,双早,大床,可住2人,不可取消,616,2019-07-18 17:30:05
21677768,家庭套房,无早,多张床,可住4人,不可取消 立即确认,827,2019-07-18 17:30:05
48447102,家庭套房,无早,多张床,可住4人,免费取消 立即确认,830,2019-07-18 17:30:05
9144282,家庭套房,双早,多张床,可住4人,不可取消 立即确认,886,2019-07-18 17:30:05
59510009,家庭套房,双早,多张床,可住4人,免费取消 立即确认,888,2019-07-18 17:30:05
2876626,特价单人间,无早,单人床,可住1人,免费取消,302,2019-07-18 17:30:05
